stopid,route,stopname,corner,pole,single_spinny,double_spinny,flag,shelter
101,NORTH SOUTH ROUTE (Southbound),Pennsylvania Ave. NW/9th St. ,southeast,lightpole,N,N,Y,No
102,NORTH SOUTH ROUTE (Southbound),7th Street NW/Constitution Ave. ,northwest,black,N,Y,Y,NEW
103,NORTH SOUTH ROUTE (Southbound),7th Street NW/between Constitution Ave. & Madison Ave. ,southwest,black,N,Y,Y,No
104,NORTH SOUTH ROUTE (Southbound),7th Street SW/Independence Ave. ,northwest,black,N,Y,Y,NEW
106,NORTH SOUTH ROUTE (Southbound),7th Street SW/E St.,westside,black,N,Y,Y,NEW
107,NORTH SOUTH ROUTE (Southbound),7th Street SW/G St. ,northwest,black,N,Y,Y,No
108,NORTH SOUTH ROUTE (Southbound),I Street / 7th St. SW ,midblock,black,N,Y,Y,No
109,NORTH SOUTH ROUTE (Southbound),6th Street SW/K St.,northwest,black,N,Y,Y,No
79,NORTH SOUTH ROUTE (Southbound),Water Street SW/6th St. ,northeast,black,Y,N,Y,No
80,NORTH SOUTH ROUTE (Southbound),Water Street SW/7th St. ,northeast,black,Y,N,Y,No
81,NORTH SOUTH ROUTE (Southbound),Water Street SW/9th St. ,northeast,black,Y,N,Y,No
82,NORTH SOUTH ROUTE (Southbound),G Street SW/9th St.,southside,lightpole,N,N,Y,No
83,NORTH SOUTH ROUTE (Southbound),7th Street SW/G St. ,northeast,lightpole,N,N,Y,No
84,NORTH SOUTH ROUTE (Southbound),7th Street SW/E St.,eastside,upole,N,N,Y,NEW
85,NORTH SOUTH ROUTE (Southbound),7th Street SW/Independence Ave. ,northeast,black,N,N,Y,NEW
86,NORTH SOUTH ROUTE (Southbound),7th Street NW/Constitution Ave. ,southeast,black,N,Y,Y,NEW
87,NORTH SOUTH ROUTE (Southbound),7th Street NW/Indiana Ave. ,southeast,black,N,Y,Y,NEW
88,NORTH SOUTH ROUTE (Southbound),7th Street NW/E Street NW,southeast,black,N,Y,Y,No
90,NORTH SOUTH ROUTE (Southbound),7th Street NW/H St.,southeast,black,Y,N,N,No
91,NORTH SOUTH ROUTE (Southbound),7th Street NW/Massachusetts Ave. ,southeast,black,N,Y,N,NEW
92,NORTH SOUTH ROUTE (Southbound),7th Street NW/L St.,southeast,black,Y,N,Y,No
93,NORTH SOUTH ROUTE (Southbound),7th Street NW/M St. ,southeast,black,N,Y,Y,No
94,NORTH SOUTH ROUTE (Southbound),7th Street NW/N St. ,southeast,black,Y,N,Y,No
73,NATIONAL MALL ROUTE,Constitution Ave. NW/17th St. ,southeast,upole,N,N,Y,No
74,NATIONAL MALL ROUTE,Constitution Ave. NW/14th St. ,southeast,black,Y,N,Y,No
75,NATIONAL MALL ROUTE,Constitution Ave. NW/10th St.,southwest,black,N,Y,Y,No
77,NATIONAL MALL ROUTE,Constitution Ave. NW/6th St. ,southwest,lightpole,Y,N,Y,No
78,NATIONAL MALL ROUTE,Constitution Ave./Pennsylvania Ave NW/4th St ,southwest (midblock),lightpole,N,N,Y,No
66,NATIONAL MALL ROUTE,1st Street NE/Maryland Ave/US Capitol ,southwest,black,N,N,Y,No
67,NATIONAL MALL ROUTE,Independence Ave. NW/2nd Street,northeast,upole,N,N,Y,No
68,NATIONAL MALL ROUTE,Independence Ave. NW/4th St.,northwest,upole,N,N,N,No
69,NATIONAL MALL ROUTE,Independence Ave. NW/6th St. ,northwest,black,N,Y,Y,No
70,NATIONAL MALL ROUTE,Independence Ave. NW/7th St. ,northwest,black,Y,N,Y,No
71,NATIONAL MALL ROUTE,Independence Ave. NW/10th St. ,northeast,black,N,Y,Y,OLD
133,NATIONAL MALL ROUTE,Independence Ave. NW/12th St. ,northwest,black,N,Y,Y,No
72,NATIONAL MALL ROUTE,Independence Ave. NW/14th St.,northeast,lightpole,Y,N,Y,No
50,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,Connecticut Ave NW/24th Street ,southwest,upole,N,N,Y,NEW
51,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,Adams Mill Rd NW/Lanier Pl. NW/Calvert Rd ,northwest,upole,N,N,Y,NEW
52,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,Columbia Rd/Ontario St NW ,southwest,upole,N,N,Y,NEW
53,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,Mt. Pleasant St NW/Irving Street ,southeast,none,N,N,N,NEW
54,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,Irving St NW/14th Street ,southwest,upole,N,N,Y,NEW
55,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,14th Street NW/U Street ,northwest,upole,N,N,Y,NEW
56,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,14th Street NW/P Street ,northwest,upole,N,N,Y,NEW
57,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,K Street NW/13th Street ,northwest,no,N,N,Y,NEW
58,WOODLEY PARK -ADAMS MORGAN- MCPHERSON SQ METRO ROUTE,I Street NW/14th Street ,northeast,upole,N,N,Y,NEW
59,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,14th Street NW/K Street ,southeast,upole,N,N,Y,NEW
60,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,14th Street NW/Rhode Island Ave ,southeast,upole,N,N,Y,NEW
61,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,14th Street NW/U Street ,northeast,upole,N,N,Y,NEW
62,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,Columbia Rd NW/14th Street ,northwest,upole,N,N,Y,no
63,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,Columbia Rd NW/between 15th & 16th St. ,northwest,upole,N,N,Y,NEW
64,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,Columbia Rd NW/Ontario Street,northeast,upole,N,N,Y,NEW
65,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,Columbia Rd/18th Street NW/Adams Mill Rd.,northeast,upole,N,N,Y,NEW
